TA101 0,042 	A entspricht A 42⋅10-3 A. 
TA102 0,00042 	A entspricht A 420.10-6 A. 
TA103 100 mW entspricht 	A 10-1 W. 
TA104 4 200 000 Hz entspricht 	A 4,2⋅106 Hz. 
TA201 Welche Einheit wird für die elektrische Spannung verwendet? 	A Volt (V) 
TA202 Welche Einheit wird für die elektrische La-dung verwendet? 	A Amperesekunde (As) 
TA203 Welche Einheit wird für die elektrische Leis-tung verwendet? 	A Watt (W) 
TA204 In welcher Einheit wird der elektrische Wi-derstand angegeben? 	A Ohm 
TA205 Welche der nachfolgenden Antworten ent-hält nur Basiseinheiten nach dem internati-onalen Einheitensystem? 	A Ampere, Kelvin, Meter, Sekunde 
TA206 0,22 µF sind 	A 220 nF. 
TA207 3,75 MHz sind 	A 3750 kHz. 
TA208 Welche Einheit wird für die Kapazität ver-wendet? 	A Farad (F) 
TB101 Welche Gruppe enthält insgesamt die bes-ten gut leitenden Metalle? 	A Silber, Kupfer, Aluminium 
TB102 Welches der genannten Metalle hat die bes-te elektrische Leitfähigkeit? 	A Silber 
TB103 Welches der genannten Metalle hat die schlechteste elektrische Leitfähigkeit? 	A Zinn 
TB104 Welche Gruppe von Materialien enthält nur Nichtleiter (Isolatoren)? 	A Epoxid, Polyethylen (PE), Polystyrol (PS) 
TB105 Was verstehen Sie unter Halbleitermateria-lien? 	A Einige Stoffe (z.B. Silizium, Germanium) sind in reinem Zustand bei Raumtemperatur gute Iso-latoren. Durch geringfügige Zusätze von geeig-neten anderen Stoffen oder bei hohen Tempe-raturen werden sie jedoch zu Leitern.  
TB201 Welche Spannung zeigt der Spannungs-messer in folgender Schaltung?  	A 0 V 
TB202 Folgende Schaltung eines Akkus besteht aus Zellen von je 2 V. Jede Zelle kann 10 Ah Ladung liefern. Welche Daten hat der Akku?  	A 12 V / 10 Ah 
TB203 Was versteht man unter „technischer Stromrichtung“ in der Elektrotechnik? 	A Man nimmt an, dass der Strom vom Pluspol zum Minuspol fließt. 
TB204 Kann in folgender Schaltung von zwei glei-chen Spannungsquellen Strom fließen? Welche Begründung ist richtig?  	A Nein, weil kein geschlossener Stromkreis vor-handen ist. 
TB205 Wie lange könnte man mit einem voll gela-denen Akku mit 55 Ah einen Amateurfunk-empfänger betreiben, der einen Strom von 0,8 	A aufnimmt? A 68 Stunden und 45 Minuten 
TB301 Welche Einheit wird für die elektrische Feld-stärke verwendet? 	A Volt pro Meter (V/m) 
TB302 Wie nennt man das Feld zwischen zwei pa-rallelen Kondensatorplatten bei Anschluss einer Gleichspannung?   	A Homogenes elektrisches Feld 
TB303 Wie werden die mit X gekennzeichneten Feldlinien einer Vertikalantenne bezeichnet? 	A Elektrische Feldlinien 
TB401 Welche Einheit wird für die magnetische Feldstärke verwendet? 	A Ampere pro Meter (A/m) 
TB402 Wie nennt man das Feld im Innern einer langen Zylinderspule beim Fließen eines Gleichstroms?  	A Homogenes magnetisches Feld 
TB403 Wenn Strom durch einen gestreckten Leiter fließt, entsteht ein 	A Magnetfeld aus konzentrischen Kreisen um den Leiter. 
TB404 Wie werden die mit X gekennzeichneten Feldlinien einer Vertikalantenne bezeichnet?  	A Magnetische Feldlinien 
TB405 Welcher der nachfolgenden Werkstoffe ist ein ferromagnetischer Stoff? 	A Eisen 
TB501 Wodurch entsteht ein elektromagnetisches Feld?  Ein elektromagnetisches Feld entsteht, 	A wenn ein zeitlich schnell veränderlicher Strom durch einen elektrischen Leiter fließt, dessen Länge mindestens 1/100 der Wellenlänge ist. 
TB502 Wie erfolgt die Ausbreitung einer elektro-magnetischen Welle?  Die Ausbreitung erfolgt 	A durch eine Wechselwirkung zwischen elektri-schem und magnetischem Feld. 
TB503 Das folgende Bild zeigt die Feldlinien eines elektromagnetischen Feldes. Welche Polari-sation hat die skizzierte Wellenfront?   	A Horizontale Polarisation 
TB504 Der Winkel zwischen den elektrischen und magnetischen Feldkomponenten eines  elektromagnetischen Feldes beträgt im Fernfeld 	A 90°. 
